Subject,Coverage,Year,Male,Female,All students
Chemistry,UK,2011,12233,33726,45959
Chemistry,UK,2012,11960,34523,46483
Chemistry,UK,2013,10874,33195,44069
Chemistry,UK,2014,11051,33871,44922
Chemistry,UK,2015,10645,34219,44864
Chemistry,UK,2016,10315,32927,43242
Chemistry,UK,2017,10718,32935,43653
Chemistry,UK,2018,,,
Chemistry,EN,2011,12233,33726,45959
Chemistry,EN,2012,11960,34523,46483
Chemistry,EN,2013,10874,33195,44069
Chemistry,EN,2014,11051,33871,44922
Chemistry,EN,2015,10645,34219,44864
Chemistry,EN,2016,10315,32927,43242
Chemistry,EN,2017,10718,32935,43653
Chemistry,EN,2018,,,
