alias,subject_name_clean,nation,entries_2015,entries_2017,A_2015,A_2017,C_2015,C_2017
ARTD,Art and design subjects,UK,62375,22324,21.5,21.5,72.1,71.4
BIOL,Biology,UK,103859,38744,18.4,18.0,58.8,52.1
BUSS,Business studies,UK,48487,21774,10.7,10.6,54.0,53.0
CHEM,Chemistry,UK,87621,32909,21.1,20.7,61.4,53.7
CLAS,Classical subjects,UK,9013,6404,30.0,28.8,76.6,76.0
COMM,Communication studies,UK,3000,1820,10.9,14.0,73.0,77.1
COMP,Computing,UK,13510,7191,10.2,13.5,43.2,48.0
CRIT,Critical thinking,UK,4766,1245,13.2,16.5,50.2,55.7
DEST,Design and technology,UK,22193,17890,11.2,12.7,51.1,53.2
DRAM,Drama,UK,16903,5811,16.2,18.8,77.0,79.0
ECON,Economics,UK,46245,16369,20.7,18.3,62.1,57.6
ENLA,English language,UK,,13281,,11.5,,64.8
ENLI,English literature,UK,,23639,,16.6,,64.7
ENLL,English language and literature,UK,,5795,,9.5,,59.6
FREN,French,UK,16917,7922,30.5,35.4,71.4,77.2
GENS,General studies,UK,33019,10911,11.8,11.0,47.5,47.4
GEOG,Geography,UK,55801,27617,21.7,22.5,63.3,66.5
GERM,German,UK,6645,3005,32.5,37.7,74.1,78.3
HIST,History,UK,80694,27587,18.2,17.4,69.3,66.0
ICTX,ICT,UK,16078,9925,9.7,9.9,47.1,49.8
IRIS,Irish,UK,454,455,50.2,48.4,84.6,86.6
LAWX,Law,UK,20971,18814,10.8,12.5,48.2,53.2
MATH,Mathematics,UK,165311,160450,35.5,38.2,67.6,70.3
MATF,Further mathematics,UK,27034,27980,52.6,57.1,80.9,84.2
MFTS,Media/film/TV studies,UK,43254,36334,10.0,10.7,69.5,70.1
MUSI,Music,UK,11283,5388,16.6,16.0,64.2,64.8
PERF,Performing/expressive arts,UK,3580,1114,14.5,15.2,69.3,70.9
PHED,Physical education,UK,20588,8740,11.4,13.0,43.3,53.2
PHYS,Physics,UK,64377,25331,21.3,22.6,57.5,55.0
POLS,Political studies,UK,22883,23911,20.4,20.6,63.4,65.5
PSYC,Psychology,UK,103476,36755,12.4,13.3,53.7,50.5
RELS,Religious studies,UK,40067,19027,21.7,23.2,69.4,71.5
SOCI,Sociology,UK,57589,24022,14.1,14.1,56.0,53.2
SPAN,Spanish,UK,14009,7064,27.2,32.5,72.1,79.7
WELF,Welsh: first language,UK,,266,,21.4,,76.7
WELS,Welsh: second language,UK,,508,,16.5,,65.0
OMFL,Other modern languages,UK,10086,8562,55.0,59.7,88.5,89.5
OSCI,Other sciences,UK,5667,4027,21.3,22.2,63.7,66.1
AOTH,All other subjects,UK,22898,17128,10.7,12.2,49.8,52.9
ALLS,All subjects,UK,1385901,728039,20.2,23.8,62.6,63.6
ARTD,Art and design subjects,EN,58440,18326,21.4,21.0,72.0,70.4
BIOL,Biology,EN,94671,30560,18.1,16.5,58.3,49.4
BUSS,Business studies,EN,44848,17452,10.3,9.5,53.3,50.2
CHEM,Chemistry,EN,80635,26717,20.6,18.4,61.1,50.6
CLAS,Classical subjects,EN,8658,6102,30.5,29.0,77.1,76.2
COMM,Communication studies,EN,2961,1820,10.9,14.0,73.1,77.1
COMP,Computing,EN,12508,6008,10.0,12.7,42.8,46.0
CRIT,Critical thinking,EN,4739,1231,13.2,16.7,50.2,55.9
DEST,Design and technology,EN,19586,15443,11.1,12.5,50.1,52.4
DRAM,Drama,EN,15548,4710,16.0,18.7,76.8,78.0
ECON,Economics,EN,44756,14992,20.7,18.0,62.2,57.1
ENLA,English language,EN,,12663,,11.5,,65.2
ENLI,English literature,EN,,18880,,16.3,,63.5
ENLL,English language and literature,EN,,4682,,8.8,,58.2
FREN,French,EN,15360,6524,30.8,36.5,70.9,77.2
GENS,General studies,EN,33014,10890,11.8,11.0,47.5,47.4
GEOG,Geography,EN,50633,23085,21.5,22.0,62.9,66.1
GERM,German,EN,6289,2671,32.7,37.9,73.9,77.3
HIST,History,EN,73441,21845,18.1,16.7,69.2,64.9
ICTX,ICT,EN,12384,7130,7.9,8.6,45.0,47.7
IRIS,Irish,EN,0,0,0.0,0.0,0.0,0.0
