alias,subject_name_clean,nation,reform_year_EN,reform_year_WA,reform_year_NI,entries_2015,entries_2018,A_2015,A_2018,C_2015,C_2018
ARTD,Art and design subjects,UK,2016,2016,2017,62375,11950,21.5,21.8,72.1,73.5
BIOL,Biology,UK,2016,2016,2017,103859,21850,18.4,17.2,58.8,50.4
BUSS,Business studies,UK,2016,2016,2017/2018,48487,12199,10.7,11.7,54.0,54.5
CHEM,Chemistry,UK,2016,2016,2017,87621,18084,21.1,20.1,61.4,53.9
CLAS,Classical subjects,UK,2017/2018,2017/2018,2017/2018,9013,2251,30.0,24.7,76.6,73.1
COMM,Communication studies,UK,"Discontinued, 2017","Discontinued, 2017","Discontinued, 2017",3000,291,10.9,16.8,73.0,89.7
COMP,Computing,UK,2016,2016,2016,13510,3712,10.2,13.9,43.2,47.5
CRIT,Critical thinking,UK,"Discontinued, 2017","Discontinued, 2017","Discontinued, 2017",4766,402,13.2,29.9,50.2,69.2
DEST,Design and technology,UK,2018,2018,2017,22193,6450,11.2,14.3,51.1,60.0
DRAM,Drama,UK,2017,2017,2017,16903,2092,16.2,20.0,77.0,81.8
ECON,Economics,UK,2016,2016,2017,46245,7396,20.7,18.6,62.1,55.8
ENLA,English language,UK,2016,2016,2016,,4581,,13.3,,68.7
ENLI,English literature,UK,2016,2016,2017,,11453,,16.5,,66.8
ENLL,English language and literature,UK,2016,2016,2016,,2788,,8.8,,57.1
FREN,French,UK,2017,2017,2017,16917,2759,30.5,30.4,71.4,72.5
GENS,General studies,UK,"Discontinued, 2017","Discontinued, 2017","Discontinued, 2017",33019,2573,11.8,13.1,47.5,52.9
GEOG,Geography,UK,2017,2017,2017,55801,9875,21.7,21.6,63.3,63.2
GERM,German,UK,2017,2017,2017,6645,907,32.5,31.1,74.1,69.1
HIST,History,UK,2016,2016,2017,80694,14552,18.2,15.9,69.3,65.2
ICTX,ICT,UK,"Discontinued, 2017",2018,"Discontinued, 2017",16078,3344,9.7,13.6,47.1,57.9
IRIS,Irish,UK,"Being discontinued, 2018",Not approved for use in Wales,2017,454,436,50.2,52.1,84.6,87.8
LAWX,Law,UK,2018,2018,2018,20971,6878,10.8,13.0,48.2,55.3
MATH,Mathematics,UK,2018,2018,2019,165311,81051,35.5,48.5,67.6,79.5
MATF,Further mathematics,UK,2018,2018,2018,27034,18426,52.6,60.2,80.9,86.2
MFTS,Media/film/TV studies,UK,2018,2018,2017,43254,10927,10.0,11.2,69.5,70.0
MUSI,Music,UK,2017,2017,2017,11283,1980,16.6,16.1,64.2,64.2
PERF,Performing/expressive arts,UK,"Discontinued, 2017","Discontinued, 2017",2017,3580,485,14.5,17.7,69.3,75.1
PHED,Physical education,UK,2017,2017,2017,20588,3272,11.4,14.8,43.3,55.5
PHYS,Physics,UK,2016,2016,2017,64377,13007,21.3,22.1,57.5,53.4
POLS,Political studies,UK,2018,2018,2017,22883,10108,20.4,22.0,63.4,70.1
PSYC,Psychology,UK,2016,2016,2016,103476,19893,12.4,11.9,53.7,49.5
RELS,Religious studies,UK,2017,2017,2017,40067,8454,21.7,20.3,69.4,65.9
SOCI,Sociology,UK,2016,2016,2016,57589,14235,14.1,14.8,56.0,55.5
SPAN,Spanish,UK,2017,2017,2017,14009,2549,27.2,27.8,72.1,75.4
WELF,Welsh: first language,UK,Not approved for use in England,2016,Not approved for use in Northern Ireland,,277,,22.4,,76.2
WELS,Welsh: second language,UK,Not approved for use in England,2017,2017,,482,,14.7,,58.9
OMFL,Other modern languages,UK,"2018/2019/being discontinued, 2018","2018/2019/being discontinued, 2018","2018/2019/being discontinued, 2018",10086,6085,55.0,59.9,88.5,89.5
OSCI,Other sciences,UK,2018,2018,2018,5667,2234,21.3,16.7,63.7,61.9
