Subject,Coverage,Year,Male,Female,All students
Art and design subjects,UK,2011,12233,33726,45959
Art and design subjects,UK,2012,11960,34523,46483
Art and design subjects,UK,2013,10874,33195,44069
Art and design subjects,UK,2014,11051,33871,44922
Art and design subjects,UK,2015,10645,34219,44864
Art and design subjects,UK,2016,10315,32927,43242
Art and design subjects,UK,2017,10718,32935,43653
Art and design subjects,UK,2018,,,
Biology,UK,2011,26942,35099,62041
Biology,UK,2012,27410,35664,63074
Biology,UK,2013,26988,36951,63939
Biology,UK,2014,26346,37724,64070
Biology,UK,2015,24955,38320,63275
Biology,UK,2016,24371,38279,62650
Biology,UK,2017,23703,38205,61908
Biology,UK,2018,,,
Business studies,UK,2011,17648,12100,29748
Business studies,UK,2012,16675,11892,28567
Business studies,UK,2013,16270,11403,27673
Business studies,UK,2014,15502,11243,26745
Business studies,UK,2015,16209,11153,27362
Business studies,UK,2016,16708,11500,28208
Business studies,UK,2017,17977,12046,30023
Business studies,UK,2018,,,
Chemistry,UK,2011,25329,22753,48082
Chemistry,UK,2012,25974,23260,49234
Chemistry,UK,2013,26988,24830,51818
Chemistry,UK,2014,27637,25876,53513
Chemistry,UK,2015,26771,25873,52644
Chemistry,UK,2016,25937,25874,51811
Chemistry,UK,2017,25716,26615,52331
Chemistry,UK,2018,,,
Classical subjects,UK,2011,2746,3429,6175
Classical subjects,UK,2012,2944,3691,6635
Classical subjects,UK,2013,2878,3565,6443
Classical subjects,UK,2014,2828,3787,6615
Classical subjects,UK,2015,2777,3856,6633
Classical subjects,UK,2016,2714,3867,6581
Classical subjects,UK,2017,2551,3879,6430
Classical subjects,UK,2018,,,
Communication studies,UK,2011,569,1463,2032
Communication studies,UK,2012,568,1550,2118
Communication studies,UK,2013,477,1290,1767
Communication studies,UK,2014,480,1261,1741
Communication studies,UK,2015,494,1351,1845
Communication studies,UK,2016,497,1354,1851
Communication studies,UK,2017,402,1135,1537
Communication studies,UK,2018,,,
Critical thinking,UK,2011,3700,302,4002
Critical thinking,UK,2012,3512,297,3809
Critical thinking,UK,2013,3513,245,3758
Critical thinking,UK,2014,3857,314,4171
Critical thinking,UK,2015,4927,456,5383
Critical thinking,UK,2016,5633,609,6242
Critical thinking,UK,2017,7483,816,8299
Critical thinking,UK,2018,,,
